project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2006578,Camera 8 - fall 2023,Camera 8,-94.91656884,31.30174449,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Other,field,2087020,Camera 8,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 22 - fall 2023,Camera 22,-94.97159271,31.33645591,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087048,Camera 22,4,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 38 - fall 2023,Camera 38,-95.00505135,31.37738268,2023-07-26 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087085,Camera 38,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 9 - fall 2023,Camera 9 ,-94.90044551,31.30464576,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087021,Camera 9,4,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 11 - fall 2023,Camera 11,-94.95865775,31.30750555,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,1,2087025,Camera 11,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 40 - fall 2023,Camera 40,-94.96235524,31.38545506,2023-07-26 00:00:00,2023-11-01 00:00:00,None,,Road dirt,1,2087087,Camera 40,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 17 - fall 2023,Camera 17,-94.94588235,31.3221819,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087042,Camera 17,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 19 - fall 2023,Camera 19,-94.91625824,31.32476993,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,1,2087044,Camera 19,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 1 - fall 2023,Camera 1,-94.93069581,31.2767773,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Other,field,2086969,Camera 1,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 12 - fall 2023,Camera 12,-94.94514727,31.31193193,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087026,Camera 12,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 27 - fall 2023,Camera 27,-94.98842719,31.34889971,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087053,Camera 27,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 28 - fall 2023,Camera 28,-94.96907688,31.35016273,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087054,Camera 28,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 3 - fall 2023,Camera 3,-94.9291561,31.2876949,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087013,Camera 3,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 10 - fall 2023,Camera 10,-94.96765768,31.31433607,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087022,Camera 10,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 20 - fall 2023,Camera 20,-94.90172963,31.3259723,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,1,2087045,Camera 20,4,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 13 - fall 2023,Camera 13,-94.92565403,31.31041564,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087027,Camera 13,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 24 - fall 2023,Camera 24,-94.9525838,31.33420165,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087050,Camera 24,4,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 23 - fall 2023,Camera 23,-94.96105108,31.33903272,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087049,Camera 23,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 4 - fall 2023,Camera 4,-94.91574644,31.29200469,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087014,Camera 4,4,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 39 - fall 2023,Camera 39,-94.97876378,31.38469098,2023-07-26 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087086,Camera 39,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 34 - fall 2023,Camera 34,-94.99208977,31.37399391,2023-07-26 00:00:00,2023-11-01 00:00:00,None,,Other,field,2087081,Camera 34,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 6 - fall 2023,Camera 6,-94.94188062,31.29869488,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087016,Camera 6 ,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 36 - fall 2023,Camera 36,-94.96004116,31.37656501,2023-07-26 00:00:00,2023-11-01 00:00:00,None,,Road dirt,1,2087083,Camera 36,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 30 - fall 2023,Camera 30,-94.99043863,31.36149864,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087056,Camera 30,5,Camera Functioning,Chest height,,Parallel,,,,,,,,,,
2006578,Camera 31 - fall 2023,Camera 31,-94.97347052,31.3636192,2023-07-26 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087076,Camera 31,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 21 - fall 2023,Camera 21,-94.98540084,31.33747314,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087047,Camera 21,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 18 - fall 2023,Camera 18,-94.92879711,31.32524836,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087043,Camera 18,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 5 - fall 2023,Camera 5,-94.9550483,31.29883269,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087015,Camera 5,4,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 26 - fall 2023,Camera 26,-95.00238256,31.34964453,2023-07-26 00:00:00,2023-11-01 00:00:00,None,,Road dirt,1,2087052,Camera 26,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 2 - fall 2023,Camera 2,-94.94850174,31.28523051,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2086971,Camera 2,4,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 7 - fall 2023,Camera 7,-94.92973555,31.30116698,2023-07-25 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087017,Camera 7,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 32 - fall 2023,Camera 32,-94.96198685,31.36591723,2023-07-26 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087079,Camera 32,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2006578,Camera 35 - fall 2023,Camera 35,-94.97596331,31.37516522,2023-07-26 00:00:00,2023-11-01 00:00:00,None,,Road dirt,2,2087082,Camera 35,5,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
